2025-06-28 20:34:48,039 | antivirus_kali.interfaz.paneles.panel_mini_siem | WARNING | logger.py:108 | warning() | Alerta crítica: [20:34:48] CRITICAL: Acceso no autorizado detectado - Acceso fuera de horario laboral
2025-06-28 20:34:48,040 | antivirus_kali.interfaz.paneles.panel_mini_siem | WARNING | logger.py:108 | warning() | Alerta crítica: [20:34:48] CRITICAL: Intento de escalación de privilegios - Modificación de permisos críticos
2025-06-28 20:34:49,383 | antivirus_kali.interfaz.paneles.panel_mini_siem | WARNING | logger.py:108 | warning() | Alerta crítica: [20:34:49] CRITICAL: Malware detectado - Ransomware bloqueado
2025-06-28 20:34:50,992 | antivirus_kali.interfaz.paneles.panel_mini_siem | WARNING | logger.py:108 | warning() | Alerta crítica: [20:34:50] CRITICAL: Intento de escalación de privilegios - Intento de acceso root
2025-06-28 20:34:51,251 | antivirus_kali.interfaz.paneles.panel_mini_siem | WARNING | logger.py:108 | warning() | Alerta crítica: [20:34:51] CRITICAL: Acceso no autorizado detectado - IP no autorizada
2025-06-28 20:34:52,993 | antivirus_kali.interfaz.paneles.panel_mini_siem | WARNING | logger.py:108 | warning() | Alerta crítica: [20:34:52] CRITICAL: Acceso no autorizado detectado - Múltiples intentos fallidos
2025-06-28 20:34:52,994 | antivirus_kali.interfaz.paneles.panel_mini_siem | WARNING | logger.py:108 | warning() | Alerta crítica: [20:34:52] CRITICAL: Intento de escalación de privilegios - Uso de sudo sin autorización
2025-06-28 20:34:53,251 | antivirus_kali.interfaz.paneles.panel_mini_siem | WARNING | logger.py:108 | warning() | Alerta crítica: [20:34:53] HIGH: Vulnerabilidad detectada - Servicio desactualizado
2025-06-28 20:34:53,385 | antivirus_kali.interfaz.paneles.panel_mini_siem | WARNING | logger.py:108 | warning() | Alerta crítica: [20:34:53] HIGH: Vulnerabilidad detectada - Puerto abierto sin autorización
2025-06-28 20:34:54,994 | antivirus_kali.interfaz.paneles.panel_mini_siem | WARNING | logger.py:108 | warning() | Alerta crítica: [20:34:54] CRITICAL: Intento de escalación de privilegios - Modificación de permisos críticos
2025-06-28 20:34:55,252 | antivirus_kali.interfaz.paneles.panel_mini_siem | WARNING | logger.py:108 | warning() | Alerta crítica: [20:34:55] CRITICAL: Malware detectado - Ransomware bloqueado
